symbol,price,name,timestamp
AMZN,186.346,"Amazon.com, Inc.",2024-06-10 12:00:00
TSLA,175.89,"Tesla, Inc.",2024-06-10 12:00:00
META,499.08,"Meta Platforms, Inc.",2024-06-10 12:00:00
AMD,163.0085,"Advanced Micro Devices, Inc.",2024-06-10 12:00:00
NFLX,640.27,"Netflix, Inc.",2024-06-10 12:00:00
CSCO,45.5507,"Cisco Systems, Inc.",2024-06-10 12:00:00
CRM,242.2,"Salesforce, Inc.",2024-06-10 12:00:00
PYPL,66.85,"PayPal Holdings, Inc.",2024-06-10 12:00:00
CRWD,379.22,"CrowdStrike Holdings, Inc.",2024-06-10 12:00:00
UBER,69.065,"Uber Technologies, Inc.",2024-06-10 12:00:00
MRNA,146.31,"Moderna, Inc.",2024-06-10 12:00:00
ROKU,57.21,"Roku, Inc.",2024-06-10 12:00:00
ZM,62.68,"Zoom Video Communications, Inc.",2024-06-10 12:00:00
COIN,249.2,"Coinbase Global, Inc.",2024-06-10 12:00:00
HOOD,23.065,"Robinhood Markets, Inc.",2024-06-10 12:00:00
SQ,64.35,"Block, Inc.",2024-06-10 12:00:00
AAPL,195.55,"Apple Inc.",2024-06-10 12:00:00
NVDA,122.3,"NVIDIA Corporation",2024-06-10 12:00:00
