TradeId,ClientId,FacilityType,FacilityStartDate,FacilityMaturityDate,SNCRating,GrossAmount,NetAmount,UsedAmount,Timestamp
LOA2407333,ADVF33,TermLoan,2022-10-23,2023-10-23,SM,3000000.00,300000.00,30000.00,2024-06-10
LOA8993746,ACDT32,TermLoan,2022-10-23,2023-11-02,P,30000000.00,2000000.00,30000000.00,2024-06-10
LOA8946839,ACVD53,TermLoan,2022-10-23,2023-11-01,P,30000000.00,2000000.00,30000000.00,2024-06-10
LOA2904833,ADDL87,TermLoan,2022-10-23,2023-10-30,P,30000000.00,2000000.00,30000000.00,2024-06-10
LOA9803223,ABDD99,Revolver,2022-10-23,2023-10-26,P,30000000.00,2000000.00,1233330.00,2024-06-10
LOA3329003,ADFF22,TermLoan,2022-10-23,2023-10-28,P,30000000.00,30000000.00,30000000.00,2024-06-10
LOA9879643,ABCS12,Revolver,2022-10-23,2023-10-27,P,3000000.00,300000.00,2333.00,2024-06-10
LOA4830232,ADDE98,TermLoan,2022-10-23,2023-10-31,P,3000000.00,300000.00,3000000.00,2024-06-10
LOA1193923,ADCC12,TermLoan,2022-10-23,2023-10-29,SM,3000000.00,300000.00,3000000.00,2024-06-10
LOA983807,ADKC09,Revolver,2022-10-23,2023-10-25,P,3000000.00,300000.00,23030.00,2024-06-10
LOA3423322,APPC12,Revolver,2022-10-23,2023-10-24,P,30000000.00,2000000.00,20000.00,2024-06-10
