TradeDate,TradeTime,ClientCode,ClientTradeId,Symbol,Price,Quantity,Broker,Way,Trader,SecurityType,Currency,Exchange
20240611,6:16:55,ABBD91,209001,PYPL,64.77,796,BROKERTEK,S,jlin2589,stock,USD,NASDAQ
20240611,13:30:54,ABBD91,209002,META,507.47,656,JPMORGAN,B,tbrad9452,stock,USD,NASDAQ
20240611,7:27:32,ABBD91,209003,PYPL,64.77,251,BNP,B,jlin2589,stock,USD,NASDAQ
20240611,10:16:11,ABBD91,209004,SQ,64.16,722,FIDELITY,S,tbrad9452,stock,USD,NASDAQ
20240611,15:12:45,ABBD91,209005,META,507.47,867,BNP,S,jlin2589,stock,USD,NASDAQ
20240611,13:45:43,ABBD91,209006,UBER,69.59,658,JPMORGAN,S,jlin2589,stock,USD,NYSE
20240611,15:49:11,ABBD91,209007,PYPL,64.77,974,JPMORGAN,B,tbrad9452,stock,USD,NASDAQ
20240611,7:41:04,ABBD91,209008,AMD,158.96,553,BROKERTEK,B,tbrad9452,stock,USD,NASDAQ
20240611,6:53:23,ABBD91,209009,ZM,62.85,498,BROKERTEK,S,jlin2589,stock,USD,NASDAQ
20240611,7:54:32,ABBD91,209010,UBER,69.59,714,FIDELITY,B,jlin2589,stock,USD,NYSE
20240611,8:36:17,ABBD91,209011,AMZN,187.23,558,BROKERTEK,S,tbrad9452,stock,USD,NASDAQ
20240611,6:33:58,ABBD91,209012,NFLX,648.55,654,JPMORGAN,S,tbrad9452,stock,USD,NASDAQ
20240611,12:03:25,ABBD91,209013,COIN,244.2,808,BNP,B,jlin2589,stock,USD,NASDAQ
20240611,10:12:18,ABBD91,209014,UBER,69.59,722,BROKERTEK,S,jlin2589,stock,USD,NASDAQ
20240611,8:25:34,ABBD91,209015,ROKU,58.17,461,BROKERTEK,S,tbrad9452,stock,USD,NASDAQ
20240611,6:21:01,ABBD91,209016,CRWD,384.63,997,OTHER,B,tbrad9452,stock,USD,NASDAQ
