TradeDate,TradeTime,ClientCode,ClientTradeId,Symbol,Price,Quantity,Broker,Way,Trader,SecurityType,Currency,Exchange
20240612,13:40:42,ABCS12,21,CRWD,387.55,844,JPMORGAN,B,tbrad9452,stock,USD,NASDAQ
20240612,10:13:40,ABCS12,22,UBER,73.385,629,JPMORGAN,B,tbrad9452,stock,USD,NYSE
20240612,11:45:16,ABCS12,23,NFLX,650.09,1711,BROKERTEK,B,jlin2589,stock,USD,NASDAQ
20240612,14:25:16,ABCS12,24,COIN,255,2313,BROKERTEK,B,tbrad9452,stock,USD,NASDAQ
20240612,8:29:58,ABCS12,25,META,509.4477,1975,OTHER,B,tbrad9452,stock,USD,NASDAQ
20240612,13:12:30,ABCS12,26,UBER,73.385,609,OTHER,S,tbrad9452,stock,USD,NYSE
20240612,10:56:45,ABCS12,27,CRWD,387.55,122,BROKERTEK,S,tbrad9452,stock,USD,NASDAQ
20240612,6:37:45,ABCS12,28,CSCO,45.63,826,JPMORGAN,B,jlin2589,stock,USD,NASDAQ
20240612,8:47:54,ABCS12,29,CSCO,45.63,591,BROKERTEK,S,jlin2589,stock,USD,NASDAQ
20240612,8:46:56,ABCS12,30,NFLX,650.09,264,FIDELITY,S,jlin2589,stock,USD,NASDAQ
20240612,10:01:43,ABCS12,31,META,509.4477,175,FIDELITY,S,tbrad9452,stock,USD,NASDAQ
