TradeDate,TradeTime,ClientCode,ClientTradeId,Symbol,Price,Quantity,Broker,Way,Trader,SecurityType,Currency,Exchange
20240614,06:18:16,ADDL87,11,AAPL,211.5811,1600,JPMORGAN,B,jlin2589,stock,USD,NASDAQ
20240614,11:18:25,ADDL87,12,UBER,70.125,700,JPMORGAN,B,tbrad9452,stock,USD,NYSE
20240614,11:45:16,ADDL87,13,NFLX,669.0,1950,BROKERTEK,B,jlin2589,stock,USD,NASDAQ
20240614,09:08:29,ADDL87,14,COIN,242.07,3100,BROKERTEK,B,tbrad9452,stock,USD,NASDAQ
20240614,8:29:58,ADDL87,15,AMZN,183.025,2340,OTHER,B,jlin2589,stock,USD,NASDAQ
20240614,12:46:14,ADDL87,16,UBER,70.125,580,OTHER,S,tbrad9452,stock,USD,NYSE
20240614,10:56:45,ADDL87,17,AAPL,211.5811,113,BROKERTEK,S,tbrad9452,stock,USD,NASDAQ
20240614,08:33:16,ADDL87,18,NVDA,131.795,960,JPMORGAN,B,jlin2589,stock,USD,NASDAQ
20240614,8:47:54,ADDL87,19,NVDA,131.795,570,BROKERTEK,S,tbrad9452,stock,USD,NASDAQ
20240614,12:51:16,ADDL87,20,NFLX,669.0,250,FIDELITY,S,jlin2589,stock,USD,NASDAQ
20240614,11:37:22,ADDL87,21,AMZN,183.025,160,FIDELITY,S,jlin2589,stock,USD,NASDAQ
20240614,10:55:23,ADDL87,22,ZM,57.62,298,BROKERTEK,B,jlin2589,stock,USD,NASDAQ
